Timestamp,HR,RR,unix_time
2023/11/4 19:20:29,101,0.596,1699125629.0
2023/11/4 19:20:30,101,0.597,1699125630.0
2023/11/4 19:20:31,101,0.595,1699125631.0
2023/11/4 19:20:32,101,0.597,1699125632.0
2023/11/4 19:20:33,101,0.573,1699125633.0
2023/11/4 19:20:34,102,0.562,1699125634.0
2023/11/4 19:20:35,104,0.56,1699125635.0
2023/11/4 19:20:36,105,0.56,1699125636.0
2023/11/4 19:20:37,106,0.557,1699125637.0
2023/11/4 19:20:38,106,0.562,1699125638.0
2023/11/4 19:20:39,107,0.561,1699125639.0
2023/11/4 19:20:40,107,0.562,1699125640.0
2023/11/4 19:20:41,107,0.562,1699125641.0
2023/11/4 19:20:42,107,0.558,1699125642.0
2023/11/4 19:20:43,107,0.547,1699125643.0
2023/11/4 19:20:44,108,0.552,1699125644.0
2023/11/4 19:20:45,108,0.559,1699125645.0
2023/11/4 19:20:46,108,0.566,1699125646.0
2023/11/4 19:20:47,107,0.574,1699125647.0
2023/11/4 19:20:48,106,0.578,1699125648.0
2023/11/4 19:20:49,105,0.58,1699125649.0
2023/11/4 19:20:50,105,0.577,1699125650.0
2023/11/4 19:20:51,105,0.578,1699125651.0
2023/11/4 19:20:52,105,0.396,1699125652.0
2023/11/4 19:20:53,104,0.762,1699125653.0
2023/11/4 19:20:56,104,0.374,1699125656.0
2023/11/4 19:20:58,104,1.402,1699125658.0
2023/11/4 19:20:59,104,2.681,1699125659.0
2023/11/4 19:21:01,103,1.201,1699125661.0
2023/11/4 19:21:02,101,0.331,1699125662.0
2023/11/4 19:21:03,101,0.612,1699125663.0
2023/11/4 19:21:04,100,0.615,1699125664.0
2023/11/4 19:21:05,100,0.611,1699125665.0
2023/11/4 19:21:06,99,1.815,1699125666.0
2023/11/4 19:21:07,99,0.416,1699125667.0
2023/11/4 19:21:08,99,0.663,1699125668.0
2023/11/4 19:21:09,95,0.294,1699125669.0
2023/11/4 19:21:10,94,0.593,1699125670.0
2023/11/4 19:21:11,93,0.331,1699125671.0
2023/11/4 19:21:12,92,0.899,1699125672.0
2023/11/4 19:21:15,92,0.644,1699125675.0
2023/11/4 19:21:16,92,1.217,1699125676.0
2023/11/4 19:21:17,91,0.605,1699125677.0
2023/11/4 19:21:18,91,1.219,1699125678.0
2023/11/4 19:21:19,91,0.604,1699125679.0
2023/11/4 19:21:20,92,0.604,1699125680.0
2023/11/4 19:21:21,95,0.624,1699125681.0
2023/11/4 19:21:22,95,0.301,1699125682.0
2023/11/4 19:21:23,96,0.634,1699125683.0
2023/11/4 19:21:24,96,0.637,1699125684.0
2023/11/4 19:21:25,95,0.645,1699125685.0
2023/11/4 19:21:26,94,0.639,1699125686.0
2023/11/4 19:21:27,94,0.339,1699125687.0
2023/11/4 19:21:28,94,0.353,1699125688.0
2023/11/4 19:21:32,94,1.129,1699125692.0
2023/11/4 19:21:33,94,4.226,1699125693.0
2023/11/4 19:21:34,94,0.629,1699125694.0
2023/11/4 19:21:35,94,0.636,1699125695.0
2023/11/4 19:21:36,95,0.636,1699125696.0
2023/11/4 19:21:37,95,0.642,1699125697.0
2023/11/4 19:21:38,94,0.645,1699125698.0
2023/11/4 19:21:39,94,0.649,1699125699.0
2023/11/4 19:21:40,94,0.645,1699125700.0
2023/11/4 19:21:41,94,0.655,1699125701.0
2023/11/4 19:21:42,93,0.652,1699125702.0
2023/11/4 19:21:43,93,0.657,1699125703.0
2023/11/4 19:21:44,92,0.666,1699125704.0
2023/11/4 19:21:45,92,0.665,1699125705.0
